10000
725 448 333
772 850 458
64 260 173
308 710 559
812 160 564
741 156 475
81 633 834
896 751 626
644 723 957
98 921 54
793 998 503
479 770 705
937 835 317
110 495 27
669 307 187
585 400 344
61 482 329
247 730 80
873 374 156
182 824 77
237 969 75
92 448 198
149 385 33
466 847 528
493 869 187
32 806 587
728 867 421
57 466 151
490 339 877
998 874 53
75 463 23
502 907 471
700 56 209
85 522 408
965 367 629
504 751 436
444 480 303
217 889 770
369 731 461
598 729 687
652 156 150
27 11 57
850 711 113
59 149 987
820 466 354
449 971 106
885 767 938
541 984 827
311 705 559
124 304 640
812 308 797
962 335 808
372 185 871
485 597 372
825 417 839
531 218 162
989 104 929
927 645 265
107 308 971
18 432 627
658 596 935
807 911 622
615 283 159
839 120 756
211 945 525
50 477 744
564 466 200
845 746 845
111 853 505
434 223 289
61 881 886
348 689 797
970 656 432
129 495 552
238 59 498
115 461 327
211 26 793
411 223 539
608 334 744
465 120 967
755 181 201
641 529 242
790 851 250
222 333 98
774 571 157
624 38 618
951 250 996
745 13 220
636 974 906
733 439 27
52 194 560
253 187 442
495 977 645
746 551 978
196 678 901
353 302 940
323 254 542
320 351 907
892 339 881
150 424 321
529 477 867
442 730 55
884 578 384
881 676 288
860 872 966
113 577 620
405 900 874
947 572 577
207 464 269
88 967 693
761 496 522
629 938 253
36 174 183
772 56 211
60 916 435
378 381 12
999 787 912
225 734 485
155 941 301
424 382 268
469 143 117
992 124 55
597 512 230
132 637 638
343 49 906
778 428 287
142 779 74
54 4 161
891 159 454
545 935 836
165 757 332
282 101 808
690 698 673
272 830 310
910 525 359
168 655 139
455 797 918
882 851 923
43 95 434
497 992 722
686 157 831
370 792 932
530 482 630
203 754 812
865 16 689
225 184 344
364 991 141
635 873 344
558 916 791
344 766 783
418 804 293
249 526 85
181 56 567
163 612 673
327 477 41
16 54 225
712 771 568
205 406 442
902 316 358
693 660 476
829 431 280
122 680 158
207 862 215
126 25 179
151 705 656
192 721 63
769 434 834
337 991 240
779 893 908
490 587 920
966 768 351
599 890 32
109 449 246
676 927 623
855 78 328
864 622 50
927 391 836
761 80 827
353 212 721
261 702 660
181 20 428
885 971 670
917 81 471
163 757 398
786 965 476
467 829 450
517 756 841
705 869 273
884 574 485
605 187 187
617 720 560
397 605 531
67 522 964
538 37 74
288 176 39
116 643 868
566 512 976
407 217 197
33 101 771
518 59 958
58 676 678
618 426 284
501 493 158
466 384 548
540 24 724
931 141 719
151 707 231
127 467 800
324 500 901
447 18 312
405 428 341
435 46 767
719 548 612
230 366 348
778 258 373
502 189 514
221 340 573
804 819 40
604 495 892
857 942 263
170 699 691
511 134 738
630 206 638
242 436 4
943 214 262
316 68 803
182 641 495
755 445 314
796 401 161
688 258 103
951 428 802
995 291 288
733 921 494
723 516 930
727 459 496
341 127 564
496 309 557
991 64 354
657 212 755
818 253 14
921 556 794
75 551 438
363 636 711
858 359 227
140 86 38
637 779 165
553 275 474
111 266 891
465 923 103
221 741 356
587 14 265
733 441 816
171 805 805
883 15 164
110 155 603
501 144 382
666 698 10
141 161 276
384 626 552
487 199 645
196 786 12
461 520 453
629 43 610
434 926 625
951 389 133
554 890 629
288 556 327
298 49 840
927 433 467
479 273 18
476 469 805
488 282 677
294 263 720
904 50 999
882 1 388
367 555 630
996 843 538
676 494 940
516 421 725
335 252 998
354 728 819
511 569 453
540 863 717
612 767 119
611 1 120
351 368 27
333 717 222
872 745 716
812 261 137
537 949 389
888 303 470
59 166 39
513 706 902
582 670 21
53 282 375
173 985 743
552 319 812
774 191 557
843 355 171
980 244 120
722 484 775
192 544 941
231 409 999
485 991 669
858 44 303
233 569 641
329 121 960
141 247 503
51 90 210
222 423 454
694 145 939
821 689 835
114 272 244
113 757 587
134 615 983
790 849 552
431 178 25
391 671 624
246 722 715
456 296 490
262 990 987
553 163 676
388 277 948
632 742 57
219 877 24
554 667 873
458 450 403
835 193 427
460 439 149
527 247 798
17 509 140
4 63 304
32 803 581
980 436 324
389 7 553
413 914 572
639 372 22
394 208 215
821 20 6
323 547 253
473 916 114
613 272 529
917 304 333
851 636 121
527 25 480
432 790 746
4 429 119
378 824 679
945 997 699
951 672 246
556 145 162
22 759 434
552 28 90
237 231 726
710 110 751
542 542 541
