1000
699 878 22
590 882 964
336 902 220
233 2 510
145 389 963
742 152 487
242 791 381
479 997 854
414 355 586
633 822 483
637 521 361
12 111 595
976 799 497
548 33 499
410 530 240
725 272 392
213 866 535
946 697 533
800 111 888
738 744 710
221 734 583
934 746 46
881 74 845
378 974 230
229 384 761
822 462 385
566 675 252
102 973 949
635 773 413
875 863 509
937 84 243
520 370 989
918 251 415
115 981 389
346 562 126
459 384 588
844 951 615
96 53 588
398 40 713
811 915 928
320 204 12
564 724 734
905 994 337
673 109 318
62 455 880
540 914 617
480 111 568
447 207 973
387 605 13
452 768 280
380 89 484
744 653 560
478 910 554
167 583 663
485 998 471
718 538 737
687 371 848
255 818 408
228 206 365
593 658 134
225 39 223
709 783 228
621 614 138
527 781 74
190 619 72
13 689 962
103 376 333
951 983 504
711 563 710
77 156 720
211 733 111
434 442 247
662 415 213
152 942 346
578 484 965
650 498 6
965 601 734
650 904 69
154 616 632
216 693 140
937 904 873
400 690 667
647 704 82
860 208 376
207 787 861
524 437 711
883 754 664
969 405 920
39 911 888
23 128 581
164 417 837
389 817 527
57 817 583
491 677 792
220 236 579
433 113 368
144 348 123
160 317 880
80 708 791
969 732 919
902 248 336
92 637 506
971 46 323
555 890 352
347 110 589
926 543 54
646 39 402
769 199 719
649 631 428
793 952 512
712 855 760
401 947 749
907 270 796
230 825 38
582 524 148
523 450 43
577 449 82
331 570 633
403 572 616
183 365 569
695 77 776
807 478 75
556 737 345
704 967 171
742 902 695
242 425 498
637 355 947
71 686 517
704 441 89
673 624 806
242 319 884
18 126 714
445 35 452
790 739 771
961 834 25
9 76 803
859 714 158
158 785 196
27 842 638
469 515 262
275 109 934
511 479 412
226 924 447
30 714 539
153 28 373
179 389 801
982 248 515
492 406 653
40 785 847
30 254 714
645 530 823
579 41 302
991 619 226
791 649 292
330 155 672
703 334 61
504 668 309
372 160 67
377 552 853
224 583 107
938 228 989
113 807 31
767 150 2
345 941 4
637 271 159
310 326 845
371 183 513
33 907 25
452 284 577
305 860 512
765 150 740
754 263 899
137 382 50
140 727 343
496 716 967
655 26 645
500 750 828
365 135 735
390 587 371
319 245 231
832 362 733
572 116 348
824 606 730
874 98 457
569 594 174
888 249 552
534 101 654
362 466 789
450 208 729
821 527 326
405 359 688
138 284 804
487 108 762
217 334 860
27 255 454
201 144 55
753 678 508
760 40 974
549 842 534
630 664 62
956 69 773
644 207 57
801 46 165
563 264 851
